year	stock	age	CAA
1985	GBhaddock	3	563.2
1986	GBhaddock	3	2848.3
1987	GBhaddock	3	131.6
1988	GBhaddock	3	2439.1
1989	GBhaddock	3	122.5
1990	GBhaddock	3	1697.0
1991	GBhaddock	3	122.8
1992	GBhaddock	3	407.5
1993	GBhaddock	3	439.1
1994	GBhaddock	3	1191.5
1995	GBhaddock	3	614.3
1996	GBhaddock	3	566.3
1997	GBhaddock	3	273.0
1998	GBhaddock	3	470.9
1999	GBhaddock	3	906.0
2000	GBhaddock	3	625.6
2001	GBhaddock	3	2393.3
2002	GBhaddock	3	345.3
2003	GBhaddock	3	1942.8
2004	GBhaddock	3	121.7
2005	GBhaddock	3	41.8
2006	GBhaddock	3	3164.2
2007	GBhaddock	3	231.8
2008	GBhaddock	3	435.6
2009	GBhaddock	3	199.5
2010	GBhaddock	3	420.0
2011	GBhaddock	3	189.9
2012	GBhaddock	3	237.0
2013	GBhaddock	3	4931.2
2014	GBhaddock	3	1372.0
1966	GBhaddock	4	19167.0
1967	GBhaddock	4	20667.0
1968	GBhaddock	4	1921.0
1969	GBhaddock	4	448.0
1970	GBhaddock	4	570.0
1971	GBhaddock	4	40.0
1972	GBhaddock	4	82.9
1973	GBhaddock	4	393.1
1974	GBhaddock	4	2.1
1975	GBhaddock	4	387.9
1976	GBhaddock	4	912.6
1977	GBhaddock	4	689.5
1978	GBhaddock	4	307.4
1979	GBhaddock	4	7237.5
1980	GBhaddock	4	980.4
1981	GBhaddock	4	836.9
1982	GBhaddock	4	3760.7
1983	GBhaddock	4	696.9
1984	GBhaddock	4	735.8
1985	GBhaddock	4	198.7
1986	GBhaddock	4	226.0
1987	GBhaddock	4	1645.5
1988	GBhaddock	4	137.1
1989	GBhaddock	4	1018.7
1990	GBhaddock	4	268.9
1991	GBhaddock	4	2370.1
1992	GBhaddock	4	197.2
1993	GBhaddock	4	340.4
1994	GBhaddock	4	241.5
1995	GBhaddock	4	470.8
1996	GBhaddock	4	918.6
1997	GBhaddock	4	745.1
1998	GBhaddock	4	557.6
1999	GBhaddock	4	541.1
2000	GBhaddock	4	1570.9
2001	GBhaddock	4	996.1
2002	GBhaddock	4	3177.4
2003	GBhaddock	4	461.1
2004	GBhaddock	4	5115.6
2005	GBhaddock	4	339.0
2006	GBhaddock	4	70.9
2007	GBhaddock	4	10053.6
2008	GBhaddock	4	303.9
2009	GBhaddock	4	885.0
2010	GBhaddock	4	384.1
2011	GBhaddock	4	560.5
2012	GBhaddock	4	147.5
2013	GBhaddock	4	294.4
2014	GBhaddock	4	15411.0
1966	GBhaddock	5	2768.0
1967	GBhaddock	5	10338.0
1968	GBhaddock	5	14519.0
1969	GBhaddock	5	654.0
1970	GBhaddock	5	186.0
1971	GBhaddock	5	289.0
1972	GBhaddock	5	32.7
1973	GBhaddock	5	54.0
1974	GBhaddock	5	72.6
1975	GBhaddock	5	4.1
1976	GBhaddock	5	224.0
1977	GBhaddock	5	522.2
1978	GBhaddock	5	571.5
1979	GBhaddock	5	530.0
1980	GBhaddock	5	6087.3
1981	GBhaddock	5	943.7
1982	GBhaddock	5	393.9
1983	GBhaddock	5	2261.4
1984	GBhaddock	5	401.8
1985	GBhaddock	5	472.1
1986	GBhaddock	5	148.0
1987	GBhaddock	5	124.5
1988	GBhaddock	5	952.5
1989	GBhaddock	5	217.3
1990	GBhaddock	5	1124.1
1991	GBhaddock	5	144.3
1992	GBhaddock	5	1960.1
1993	GBhaddock	5	120.1
1994	GBhaddock	5	142.1
1995	GBhaddock	5	58.9
1996	GBhaddock	5	450.3
1997	GBhaddock	5	561.3
1998	GBhaddock	5	767.2
1999	GBhaddock	5	605.7
2000	GBhaddock	5	588.0
2001	GBhaddock	5	1280.6
2002	GBhaddock	5	926.2
2003	GBhaddock	5	2686.1
2004	GBhaddock	5	729.4
2005	GBhaddock	5	8505.4
2006	GBhaddock	5	375.2
2007	GBhaddock	5	176.3
2008	GBhaddock	5	12776.3
2009	GBhaddock	5	286.1
2010	GBhaddock	5	1441.5
2011	GBhaddock	5	363.1
2012	GBhaddock	5	377.1
2013	GBhaddock	5	126.0
2014	GBhaddock	5	541.3
1966	GBhaddock	6	2591.0
1967	GBhaddock	6	1209.0
1968	GBhaddock	6	3499.0
1969	GBhaddock	6	5954.0
1970	GBhaddock	6	214.0
1971	GBhaddock	6	246.0
1972	GBhaddock	6	122.8
1973	GBhaddock	6	30.6
1974	GBhaddock	6	2.1
1975	GBhaddock	6	43.4
1976	GBhaddock	6	0.0
1977	GBhaddock	6	362.0
1978	GBhaddock	6	521.1
1979	GBhaddock	6	413.9
1980	GBhaddock	6	597.3
1981	GBhaddock	6	2590.3
1982	GBhaddock	6	573.2
1983	GBhaddock	6	274.7
1984	GBhaddock	6	1499.9
1985	GBhaddock	6	233.5
1986	GBhaddock	6	175.4
1987	GBhaddock	6	74.5
1988	GBhaddock	6	152.4
1989	GBhaddock	6	477.8
1990	GBhaddock	6	154.3
1991	GBhaddock	6	517.6
1992	GBhaddock	6	181.2
1993	GBhaddock	6	741.4
1994	GBhaddock	6	73.4
1995	GBhaddock	6	29.4
1996	GBhaddock	6	66.0
1997	GBhaddock	6	217.9
1998	GBhaddock	6	570.7
1999	GBhaddock	6	565.5
2000	GBhaddock	6	527.7
2001	GBhaddock	6	655.6
2002	GBhaddock	6	1105.4
2003	GBhaddock	6	604.9
2004	GBhaddock	6	2935.4
2005	GBhaddock	6	777.7
2006	GBhaddock	6	5418.3
2007	GBhaddock	6	217.0
2008	GBhaddock	6	115.6
2009	GBhaddock	6	12962.5
2010	GBhaddock	6	444.5
2011	GBhaddock	6	989.7
2012	GBhaddock	6	226.1
2013	GBhaddock	6	253.4
2014	GBhaddock	6	108.3
1966	GBhaddock	7	2332.0
1967	GBhaddock	7	993.0
1968	GBhaddock	7	667.0
1969	GBhaddock	7	1574.0
1970	GBhaddock	7	2308.0
1971	GBhaddock	7	285.0
1972	GBhaddock	7	79.8
1973	GBhaddock	7	78.4
1974	GBhaddock	7	2.1
1975	GBhaddock	7	4.1
1976	GBhaddock	7	23.9
1977	GBhaddock	7	4.1
1978	GBhaddock	7	140.1
1979	GBhaddock	7	318.0
1980	GBhaddock	7	549.0
1981	GBhaddock	7	333.4
1982	GBhaddock	7	1127.3
1983	GBhaddock	7	187.9
1984	GBhaddock	7	236.8
1985	GBhaddock	7	538.6
1986	GBhaddock	7	152.0
1987	GBhaddock	7	90.8
1988	GBhaddock	7	56.3
1989	GBhaddock	7	61.7
1990	GBhaddock	7	217.6
1991	GBhaddock	7	127.9
1992	GBhaddock	7	425.7
1993	GBhaddock	7	62.6
1994	GBhaddock	7	313.4
1995	GBhaddock	7	8.5
1996	GBhaddock	7	22.1
1997	GBhaddock	7	17.5
1998	GBhaddock	7	168.9
1999	GBhaddock	7	383.5
2000	GBhaddock	7	377.0
2001	GBhaddock	7	437.6
2002	GBhaddock	7	401.6
2003	GBhaddock	7	719.1
2004	GBhaddock	7	686.7
2005	GBhaddock	7	1842.6
2006	GBhaddock	7	326.5
2007	GBhaddock	7	1834.9
2008	GBhaddock	7	108.4
2009	GBhaddock	7	84.1
2010	GBhaddock	7	13437.6
2011	GBhaddock	7	169.2
2012	GBhaddock	7	487.5
2013	GBhaddock	7	101.7
2014	GBhaddock	7	82.4
1966	GBhaddock	8	1268.0
1967	GBhaddock	8	917.0
1968	GBhaddock	8	453.0
1969	GBhaddock	8	225.0
1970	GBhaddock	8	746.0
1971	GBhaddock	8	1469.0
1972	GBhaddock	8	67.5
1973	GBhaddock	8	15.3
1974	GBhaddock	8	55.0
1975	GBhaddock	8	4.1
1976	GBhaddock	8	4.1
1977	GBhaddock	8	39.5
1978	GBhaddock	8	14.1
1979	GBhaddock	8	96.9
1980	GBhaddock	8	153.8
1981	GBhaddock	8	159.1
1982	GBhaddock	8	106.8
1983	GBhaddock	8	808.0
1984	GBhaddock	8	270.2
1985	GBhaddock	8	79.9
1986	GBhaddock	8	269.6
1987	GBhaddock	8	108.1
1988	GBhaddock	8	65.5
1989	GBhaddock	8	37.0
1990	GBhaddock	8	55.4
1991	GBhaddock	8	171.9
1992	GBhaddock	8	46.6
1993	GBhaddock	8	169.2
1994	GBhaddock	8	55.2
1995	GBhaddock	8	61.4
1996	GBhaddock	8	6.9
1997	GBhaddock	8	18.4
1998	GBhaddock	8	23.4
1999	GBhaddock	8	163.2
2000	GBhaddock	8	258.1
2001	GBhaddock	8	358.8
2002	GBhaddock	8	306.4
2003	GBhaddock	8	212.3
2004	GBhaddock	8	562.9
2005	GBhaddock	8	315.2
2006	GBhaddock	8	841.9
2007	GBhaddock	8	177.5
2008	GBhaddock	8	919.1
2009	GBhaddock	8	76.0
2010	GBhaddock	8	57.7
2011	GBhaddock	8	8068.6
2012	GBhaddock	8	150.9
2013	GBhaddock	8	141.9
2014	GBhaddock	8	89.5
1966	GBhaddock	9	867.0
1967	GBhaddock	9	698.0
1968	GBhaddock	9	842.0
1969	GBhaddock	9	570.0
1970	GBhaddock	9	464.0
1971	GBhaddock	9	928.0
1972	GBhaddock	9	1264.7
1973	GBhaddock	9	455.2
1974	GBhaddock	9	258.3
1975	GBhaddock	9	91.0
1976	GBhaddock	9	116.1
1977	GBhaddock	9	112.5
1978	GBhaddock	9	67.5
1979	GBhaddock	9	46.4
1980	GBhaddock	9	81.4
1981	GBhaddock	9	94.7
1982	GBhaddock	9	110.8
1983	GBhaddock	9	76.8
1984	GBhaddock	9	549.6
1985	GBhaddock	9	155.6
1986	GBhaddock	9	60.8
1987	GBhaddock	9	137.7
1988	GBhaddock	9	108.4
1989	GBhaddock	9	56.7
1990	GBhaddock	9	48.9
1991	GBhaddock	9	65.0
1992	GBhaddock	9	99.5
1993	GBhaddock	9	82.2
1994	GBhaddock	9	109.7
1995	GBhaddock	9	16.2
1996	GBhaddock	9	78.2
1997	GBhaddock	9	48.8
1998	GBhaddock	9	48.6
1999	GBhaddock	9	47.6
2000	GBhaddock	9	98.5
2001	GBhaddock	9	262.2
2002	GBhaddock	9	551.2
2003	GBhaddock	9	388.8
2004	GBhaddock	9	408.2
2005	GBhaddock	9	343.2
2006	GBhaddock	9	227.6
2007	GBhaddock	9	353.1
2008	GBhaddock	9	231.7
2009	GBhaddock	9	515.1
2010	GBhaddock	9	338.5
2011	GBhaddock	9	143.0
2012	GBhaddock	9	2496.9
2013	GBhaddock	9	735.2
2014	GBhaddock	9	388.1
1968	GByt	1	NA
1969	GByt	1	NA
1970	GByt	1	NA
1971	GByt	1	NA
1972	GByt	1	NA
1973	GByt	1	359.0
1974	GByt	1	2368.0
1975	GByt	1	4636.0
1976	GByt	1	635.0
1977	GByt	1	378.0
1978	GByt	1	9962.0
1979	GByt	1	321.0
1980	GByt	1	318.0
1981	GByt	1	107.0
1982	GByt	1	2164.0
1983	GByt	1	703.0
1984	GByt	1	514.0
1985	GByt	1	970.0
1986	GByt	1	179.0
1987	GByt	1	156.0
1988	GByt	1	499.0
1989	GByt	1	190.0
1990	GByt	1	231.0
1991	GByt	1	663.0
1992	GByt	1	2414.0
1993	GByt	1	5233.0
1994	GByt	1	71.0
1995	GByt	1	47.0
1996	GByt	1	101.0
1997	GByt	1	82.0
1998	GByt	1	169.0
1999	GByt	1	60.0
2000	GByt	1	132.0
2001	GByt	1	176.0
2002	GByt	1	212.0
2003	GByt	1	160.0
2004	GByt	1	61.0
2005	GByt	1	60.0
2006	GByt	1	150.0
2007	GByt	1	51.0
2008	GByt	1	28.0
2009	GByt	1	17.0
2010	GByt	1	2.0
2011	GByt	1	11.0
2012	GByt	1	12.0
2013	GByt	1	15.0
2014	GByt	1	6.0
2015	GByt	1	1.0
2016	GByt	1	1.0
1968	GByt	2	NA
1969	GByt	2	NA
1970	GByt	2	NA
1971	GByt	2	NA
1972	GByt	2	NA
1973	GByt	2	5175.0
1974	GByt	2	9500.0
1975	GByt	2	26394.0
1976	GByt	2	31938.0
1977	GByt	2	9094.0
1978	GByt	2	3542.0
1979	GByt	2	10517.0
1980	GByt	2	3994.0
1981	GByt	2	1097.0
1982	GByt	2	18091.0
1983	GByt	2	7998.0
1984	GByt	2	2018.0
1985	GByt	2	4374.0
1986	GByt	2	6402.0
1987	GByt	2	3284.0
1988	GByt	2	3003.0
1989	GByt	2	2175.0
1990	GByt	2	2114.0
1991	GByt	2	147.0
1992	GByt	2	9167.0
1993	GByt	2	1386.0
1994	GByt	2	1336.0
1995	GByt	2	313.0
1996	GByt	2	681.0
1997	GByt	2	1132.0
1998	GByt	2	1991.0
1999	GByt	2	2753.0
2000	GByt	2	3864.0
2001	GByt	2	2884.0
2002	GByt	2	4169.0
2003	GByt	2	3919.0
2004	GByt	2	1152.0
2005	GByt	2	1580.0
2006	GByt	2	1251.0
2007	GByt	2	1493.0
2008	GByt	2	490.0
2009	GByt	2	283.0
2010	GByt	2	141.0
2011	GByt	2	166.0
2012	GByt	2	108.0
2013	GByt	2	61.0
2014	GByt	2	43.0
2015	GByt	2	30.0
2016	GByt	2	14.0
1968	GByt	3	NA
1969	GByt	3	NA
1970	GByt	3	NA
1971	GByt	3	NA
1972	GByt	3	NA
1973	GByt	3	13565.0
1974	GByt	3	8294.0
1975	GByt	3	7375.0
1976	GByt	3	5502.0
1977	GByt	3	10567.0
1978	GByt	3	4580.0
1979	GByt	3	3789.0
1980	GByt	3	9685.0
1981	GByt	3	5963.0
1982	GByt	3	7480.0
1983	GByt	3	16661.0
1984	GByt	3	4535.0
1985	GByt	3	1058.0
1986	GByt	3	1127.0
1987	GByt	3	3137.0
1988	GByt	3	1544.0
1989	GByt	3	1121.0
1990	GByt	3	6996.0
1991	GByt	3	1491.0
1992	GByt	3	2971.0
1993	GByt	3	3327.0
1994	GByt	3	6302.0
1995	GByt	3	1435.0
1996	GByt	3	2064.0
1997	GByt	3	1832.0
1998	GByt	3	3388.0
1999	GByt	3	4195.0
2000	GByt	3	5714.0
2001	GByt	3	6956.0
2002	GByt	3	3446.0
2003	GByt	3	4710.0
2004	GByt	3	3184.0
2005	GByt	3	4032.0
2006	GByt	3	1577.0
2007	GByt	3	1708.0
2008	GByt	3	1897.0
2009	GByt	3	1266.0
2010	GByt	3	651.0
2011	GByt	3	775.0
2012	GByt	3	370.0
2013	GByt	3	99.0
2014	GByt	3	90.0
2015	GByt	3	61.0
2016	GByt	3	19.0
1968	GByt	4	NA
1969	GByt	4	NA
1970	GByt	4	NA
1971	GByt	4	NA
1972	GByt	4	NA
1973	GByt	4	9473.0
1974	GByt	4	7658.0
1975	GByt	4	3540.0
1976	GByt	4	1426.0
1977	GByt	4	1846.0
1978	GByt	4	1914.0
1979	GByt	4	1432.0
1980	GByt	4	1538.0
1981	GByt	4	4920.0
1982	GByt	4	3401.0
1983	GByt	4	2476.0
1984	GByt	4	5043.0
1985	GByt	4	818.0
1986	GByt	4	389.0
1987	GByt	4	983.0
1988	GByt	4	846.0
1989	GByt	4	428.0
1990	GByt	4	978.0
1991	GByt	4	3011.0
1992	GByt	4	1473.0
1993	GByt	4	2326.0
1994	GByt	4	1819.0
1995	GByt	4	879.0
1996	GByt	4	885.0
1997	GByt	4	1857.0
1998	GByt	4	1885.0
1999	GByt	4	1548.0
2000	GByt	4	3173.0
2001	GByt	4	2893.0
2002	GByt	4	1916.0
2003	GByt	4	2320.0
2004	GByt	4	3824.0
2005	GByt	4	1707.0
2006	GByt	4	923.0
2007	GByt	4	664.0
2008	GByt	4	853.0
2009	GByt	4	1360.0
2010	GByt	4	899.0
2011	GByt	4	904.0
2012	GByt	4	579.0
2013	GByt	4	148.0
2014	GByt	4	98.0
2015	GByt	4	58.0
2016	GByt	4	27.0
1968	GByt	5	NA
1969	GByt	5	NA
1970	GByt	5	NA
1971	GByt	5	NA
1972	GByt	5	NA
1973	GByt	5	3815.0
1974	GByt	5	3643.0
1975	GByt	5	2175.0
1976	GByt	5	574.0
1977	GByt	5	419.0
1978	GByt	5	540.0
1979	GByt	5	623.0
1980	GByt	5	352.0
1981	GByt	5	854.0
1982	GByt	5	1095.0
1983	GByt	5	680.0
1984	GByt	5	1796.0
1985	GByt	5	517.0
1986	GByt	5	204.0
1987	GByt	5	192.0
1988	GByt	5	227.0
1989	GByt	5	110.0
1990	GByt	5	140.0
1991	GByt	5	383.0
1992	GByt	5	603.0
1993	GByt	5	411.0
1994	GByt	5	477.0
1995	GByt	5	170.0
1996	GByt	5	201.0
1997	GByt	5	378.0
1998	GByt	5	1121.0
1999	GByt	5	794.0
2000	GByt	5	826.0
2001	GByt	5	1004.0
2002	GByt	5	683.0
2003	GByt	5	782.0
2004	GByt	5	1970.0
2005	GByt	5	392.0
2006	GByt	5	358.0
2007	GByt	5	137.0
2008	GByt	5	125.0
2009	GByt	5	516.0
2010	GByt	5	449.0
2011	GByt	5	310.0
2012	GByt	5	240.0
2013	GByt	5	91.0
2014	GByt	5	50.0
2015	GByt	5	51.0
2016	GByt	5	17.0
1968	GByt	6	NA
1969	GByt	6	NA
1970	GByt	6	NA
1971	GByt	6	NA
1972	GByt	6	NA
1973	GByt	6	1285.0
1974	GByt	6	878.0
1975	GByt	6	708.0
1976	GByt	6	453.0
1977	GByt	6	231.0
1978	GByt	6	120.0
1979	GByt	6	167.0
1980	GByt	6	96.0
1981	GByt	6	135.0
1982	GByt	6	68.0
1983	GByt	6	122.0
1984	GByt	6	294.0
1985	GByt	6	73.0
1986	GByt	6	80.0
1987	GByt	6	48.0
1988	GByt	6	24.0
1989	GByt	6	18.0
1990	GByt	6	21.0
1991	GByt	6	67.0
1992	GByt	6	33.0
1993	GByt	6	84.0
1994	GByt	6	120.0
1995	GByt	6	25.0
1996	GByt	6	13.0
1997	GByt	6	39.0
1998	GByt	6	122.0
1999	GByt	6	264.0
2000	GByt	6	420.0
2001	GByt	6	291.0
2002	GByt	6	269.0
2003	GByt	6	282.0
2004	GByt	6	889.0
2005	GByt	6	132.0
2006	GByt	6	123.0
2007	GByt	6	44.0
2008	GByt	6	17.0
2009	GByt	6	59.0
2010	GByt	6	88.0
2011	GByt	6	67.0
2012	GByt	6	38.0
2013	GByt	6	19.0
2014	GByt	6	19.0
2015	GByt	6	21.0
2016	GByt	6	8.0
1968	GByt	7	NA
1969	GByt	7	NA
1970	GByt	7	NA
1971	GByt	7	NA
1972	GByt	7	NA
1973	GByt	7	283.0
1974	GByt	7	464.0
1975	GByt	7	327.0
1976	GByt	7	304.0
1977	GByt	7	134.0
1978	GByt	7	45.0
1979	GByt	7	95.0
1980	GByt	7	5.0
1981	GByt	7	5.0
1982	GByt	7	20.0
1983	GByt	7	13.0
1984	GByt	7	47.0
1985	GByt	7	8.0
1986	GByt	7	17.0
1987	GByt	7	38.0
1988	GByt	7	26.0
1989	GByt	7	12.0
1990	GByt	7	6.0
1991	GByt	7	4.0
1992	GByt	7	7.0
1993	GByt	7	5.0
1994	GByt	7	20.0
1995	GByt	7	10.0
1996	GByt	7	10.0
1997	GByt	7	43.0
1998	GByt	7	18.0
1999	GByt	7	32.0
2000	GByt	7	66.0
2001	GByt	7	216.0
2002	GByt	7	144.0
2003	GByt	7	243.0
2004	GByt	7	409.0
2005	GByt	7	37.0
2006	GByt	7	65.0
2007	GByt	7	9.0
2008	GByt	7	8.0
2009	GByt	7	10.0
2010	GByt	7	10.0
2011	GByt	7	8.0
2012	GByt	7	4.0
2013	GByt	7	2.0
2014	GByt	7	3.0
2015	GByt	7	6.0
2016	GByt	7	4.0
1968	GByt	8	NA
1969	GByt	8	NA
1970	GByt	8	NA
1971	GByt	8	NA
1972	GByt	8	NA
1973	GByt	8	55.0
1974	GByt	8	106.0
1975	GByt	8	132.0
1976	GByt	8	95.0
1977	GByt	8	82.0
1978	GByt	8	16.0
1979	GByt	8	31.0
1980	GByt	8	11.0
1981	GByt	8	2.0
1982	GByt	8	7.0
1983	GByt	8	16.0
1984	GByt	8	39.0
1985	GByt	8	0.0
1986	GByt	8	15.0
1987	GByt	8	26.0
1988	GByt	8	3.0
1989	GByt	8	0.0
1990	GByt	8	0.0
1991	GByt	8	0.0
1992	GByt	8	1.0
1993	GByt	8	1.0
1994	GByt	8	3.0
1995	GByt	8	1.0
1996	GByt	8	5.0
1997	GByt	8	7.0
1998	GByt	8	3.0
1999	GByt	8	4.0
2000	GByt	8	38.0
2001	GByt	8	13.0
2002	GByt	8	57.0
2003	GByt	8	96.0
2004	GByt	8	78.0
2005	GByt	8	16.0
2006	GByt	8	14.0
2007	GByt	8	2.0
2008	GByt	8	0.0
2009	GByt	8	4.0
2010	GByt	8	2.0
2011	GByt	8	1.0
2012	GByt	8	4.0
2013	GByt	8	0.0
2014	GByt	8	0.0
2015	GByt	8	2.0
2016	GByt	8	1.0
1968	GByt	9	NA
1969	GByt	9	NA
1970	GByt	9	NA
1971	GByt	9	NA
1972	GByt	9	NA
1973	GByt	9	23.0
1974	GByt	9	71.0
1975	GByt	9	26.0
1976	GByt	9	54.0
1977	GByt	9	37.0
1978	GByt	9	17.0
1979	GByt	9	27.0
1980	GByt	9	1.0
1981	GByt	9	3.0
1982	GByt	9	0.0
1983	GByt	9	4.0
1984	GByt	9	0.0
1985	GByt	9	0.0
1986	GByt	9	0.0
1987	GByt	9	25.0
1988	GByt	9	0.0
1989	GByt	9	0.0
1990	GByt	9	0.0
1991	GByt	9	0.0
1992	GByt	9	1.0
1993	GByt	9	0.0
1994	GByt	9	0.0
1995	GByt	9	0.0
1996	GByt	9	0.0
1997	GByt	9	1.0
1998	GByt	9	0.0
1999	GByt	9	1.0
2000	GByt	9	4.0
2001	GByt	9	4.0
2002	GByt	9	10.0
2003	GByt	9	47.0
2004	GByt	9	74.0
2005	GByt	9	0.0
2006	GByt	9	7.0
2007	GByt	9	0.0
2008	GByt	9	0.0
2009	GByt	9	0.0
2010	GByt	9	0.0
2011	GByt	9	0.0
2012	GByt	9	0.0
2013	GByt	9	0.0
2014	GByt	9	0.0
2015	GByt	9	0.0
2016	GByt	9	0.0
1968	GByt	10	NA
1969	GByt	10	NA
1970	GByt	10	NA
1971	GByt	10	NA
1972	GByt	10	NA
1973	GByt	10	4.0
1974	GByt	10	0.0
1975	GByt	10	14.0
1976	GByt	10	13.0
1977	GByt	10	10.0
1978	GByt	10	13.0
1979	GByt	10	4.0
1980	GByt	10	0.0
1981	GByt	10	0.0
1982	GByt	10	0.0
1983	GByt	10	0.0
1984	GByt	10	0.0
1985	GByt	10	0.0
1986	GByt	10	1.0
1987	GByt	10	0.0
1988	GByt	10	0.0
1989	GByt	10	0.0
1990	GByt	10	0.0
1991	GByt	10	0.0
1992	GByt	10	0.0
1993	GByt	10	0.0
1994	GByt	10	0.0
1995	GByt	10	0.0
1996	GByt	10	0.0
1997	GByt	10	0.0
1998	GByt	10	3.0
1999	GByt	10	0.0
2000	GByt	10	0.0
2001	GByt	10	0.0
2002	GByt	10	6.0
2003	GByt	10	25.0
2004	GByt	10	20.0
2005	GByt	10	0.0
2006	GByt	10	3.0
2007	GByt	10	0.0
2008	GByt	10	0.0
2009	GByt	10	0.0
2010	GByt	10	0.0
2011	GByt	10	0.0
2012	GByt	10	0.0
2013	GByt	10	0.0
2014	GByt	10	0.0
2015	GByt	10	0.0
2016	GByt	10	0.0
1970	GOMcod	1	NA
1971	GOMcod	1	NA
1972	GOMcod	1	NA
1973	GOMcod	1	NA
1974	GOMcod	1	NA
1975	GOMcod	1	NA
1976	GOMcod	1	NA
1977	GOMcod	1	NA
1978	GOMcod	1	NA
1979	GOMcod	1	NA
1980	GOMcod	1	NA
1981	GOMcod	1	NA
1982	GOMcod	1	446.0
1983	GOMcod	1	587.5
1984	GOMcod	1	366.3
1985	GOMcod	1	500.3
1986	GOMcod	1	756.7
1987	GOMcod	1	275.7
1988	GOMcod	1	411.7
1989	GOMcod	1	163.7
1990	GOMcod	1	64.9
1991	GOMcod	1	120.5
1992	GOMcod	1	368.6
1993	GOMcod	1	104.0
1994	GOMcod	1	121.8
1995	GOMcod	1	77.0
1996	GOMcod	1	34.6
1997	GOMcod	1	67.7
1998	GOMcod	1	4.3
1999	GOMcod	1	66.6
2000	GOMcod	1	17.9
2001	GOMcod	1	0.6
2002	GOMcod	1	13.6
2003	GOMcod	1	37.6
2004	GOMcod	1	132.8
2005	GOMcod	1	23.9
2006	GOMcod	1	16.5
2007	GOMcod	1	11.7
2008	GOMcod	1	10.6
2009	GOMcod	1	9.2
2010	GOMcod	1	6.7
2011	GOMcod	1	7.0
2012	GOMcod	1	13.1
2013	GOMcod	1	6.3
2014	GOMcod	1	15.3
1970	GOMcod	2	NA
1971	GOMcod	2	NA
1972	GOMcod	2	NA
1973	GOMcod	2	NA
1974	GOMcod	2	NA
1975	GOMcod	2	NA
1976	GOMcod	2	NA
1977	GOMcod	2	NA
1978	GOMcod	2	NA
1979	GOMcod	2	NA
1980	GOMcod	2	NA
1981	GOMcod	2	NA
1982	GOMcod	2	2919.3
1983	GOMcod	2	2446.4
1984	GOMcod	2	2112.7
1985	GOMcod	2	1931.7
1986	GOMcod	2	1737.8
1987	GOMcod	2	1968.4
1988	GOMcod	2	1528.8
1989	GOMcod	2	1209.7
1990	GOMcod	2	801.4
1991	GOMcod	2	489.3
1992	GOMcod	2	817.8
1993	GOMcod	2	463.4
1994	GOMcod	2	169.0
1995	GOMcod	2	298.1
1996	GOMcod	2	100.9
1997	GOMcod	2	126.9
1998	GOMcod	2	152.2
1999	GOMcod	2	67.2
2000	GOMcod	2	416.4
2001	GOMcod	2	323.2
2002	GOMcod	2	35.0
2003	GOMcod	2	99.3
2004	GOMcod	2	92.5
2005	GOMcod	2	139.3
2006	GOMcod	2	46.6
2007	GOMcod	2	86.0
2008	GOMcod	2	102.2
2009	GOMcod	2	81.8
2010	GOMcod	2	53.5
2011	GOMcod	2	37.1
2012	GOMcod	2	83.1
2013	GOMcod	2	165.3
2014	GOMcod	2	49.3
1970	GOMcod	3	NA
1971	GOMcod	3	NA
1972	GOMcod	3	NA
1973	GOMcod	3	NA
1974	GOMcod	3	NA
1975	GOMcod	3	NA
1976	GOMcod	3	NA
1977	GOMcod	3	NA
1978	GOMcod	3	NA
1979	GOMcod	3	NA
1980	GOMcod	3	NA
1981	GOMcod	3	NA
1982	GOMcod	3	2286.7
1983	GOMcod	3	2912.8
1984	GOMcod	3	1674.5
1985	GOMcod	3	2400.6
1986	GOMcod	3	2747.6
1987	GOMcod	3	1560.1
1988	GOMcod	3	2084.0
1989	GOMcod	3	2361.7
1990	GOMcod	3	5510.2
1991	GOMcod	3	930.9
1992	GOMcod	3	858.5
1993	GOMcod	3	2124.3
1994	GOMcod	3	1482.1
1995	GOMcod	3	1276.2
1996	GOMcod	3	612.1
1997	GOMcod	3	506.9
1998	GOMcod	3	479.0
1999	GOMcod	3	329.3
2000	GOMcod	3	533.8
2001	GOMcod	3	1101.7
2002	GOMcod	3	319.7
2003	GOMcod	3	150.5
2004	GOMcod	3	550.9
2005	GOMcod	3	137.6
2006	GOMcod	3	366.7
2007	GOMcod	3	248.0
2008	GOMcod	3	533.0
2009	GOMcod	3	593.1
2010	GOMcod	3	338.8
2011	GOMcod	3	234.1
2012	GOMcod	3	288.7
2013	GOMcod	3	296.1
2014	GOMcod	3	241.4
1970	GOMcod	4	NA
1971	GOMcod	4	NA
1972	GOMcod	4	NA
1973	GOMcod	4	NA
1974	GOMcod	4	NA
1975	GOMcod	4	NA
1976	GOMcod	4	NA
1977	GOMcod	4	NA
1978	GOMcod	4	NA
1979	GOMcod	4	NA
1980	GOMcod	4	NA
1981	GOMcod	4	NA
1982	GOMcod	4	1430.5
1983	GOMcod	4	1201.6
1984	GOMcod	4	1643.6
1985	GOMcod	4	1151.8
1986	GOMcod	4	991.6
1987	GOMcod	4	1574.5
1988	GOMcod	4	1156.9
1989	GOMcod	4	1650.5
