year	stock	survey	n_tow	kg_tow		
1984	GBcod	NMFS fall BTS	4.7	10		
1985	GBcod	NMFS fall BTS	2.3	3.1		
1986	GBcod	NMFS fall BTS	3	3.7		
1987	GBcod	NMFS fall BTS	2.3	4.4		
1988	GBcod	NMFS fall BTS	3.1	5.6		
1989	GBcod	NMFS fall BTS	4.8	4.7		
1990	GBcod	NMFS fall BTS	4.8	11.5		
1991	GBcod	NMFS fall BTS	1	1.4		
1992	GBcod	NMFS fall BTS	1.7	3		
1993	GBcod	NMFS fall BTS	2.1	2.2		
1994	GBcod	NMFS fall BTS	1.8	3.3		
1995	GBcod	NMFS fall BTS	3.6	5.6		
1996	GBcod	NMFS fall BTS	1.1	2.7		
1997	GBcod	NMFS fall BTS	0.9	1.9		
1998	GBcod	NMFS fall BTS	1.9	2.8		
1999	GBcod	NMFS fall BTS	1	3		
2000	GBcod	NMFS fall BTS	1.3	1.4		
2001	GBcod	NMFS fall BTS	1	2.1		
2002	GBcod	NMFS fall BTS	4.7	11.3		
2003	GBcod	NMFS fall BTS	1.2	2.1		
2004	GBcod	NMFS fall BTS	4.2	5.9		
2005	GBcod	NMFS fall BTS	1	1.6		
2006	GBcod	NMFS fall BTS	1.4	2.6		
2007	GBcod	NMFS fall BTS	0.6	1.1		
2008	GBcod	NMFS fall BTS	3.6	2.9		
2009	GBcod	NMFS fall BTS	2.5	4.2		
2010	GBcod	NMFS fall BTS	1.6	2.5		
2011	GBcod	NMFS fall BTS	1.8	3		
2012	GBcod	NMFS fall BTS	0.7	1.6		
2013	GBcod	NMFS fall BTS	1.1	2		
2014	GBcod	NMFS fall BTS	0.6	1.4		
1964	GBwinter	NMFS fall BTS	NA	NA		
1965	GBwinter	NMFS fall BTS	NA	NA		
1966	GBwinter	NMFS fall BTS	NA	NA		
1967	GBwinter	NMFS fall BTS	NA	NA		
1968	GBwinter	NMFS fall BTS	23.1	1.83		
1969	GBwinter	NMFS fall BTS	33.2	2.53		
1970	GBwinter	NMFS fall BTS	47.3	7.73		
1971	GBwinter	NMFS fall BTS	37.5	1.32		
1972	GBwinter	NMFS fall BTS	31.4	1.56		
1973	GBwinter	NMFS fall BTS	35.9	2.3		
1974	GBwinter	NMFS fall BTS	37.7	1.55		
1975	GBwinter	NMFS fall BTS	52.3	2.09		
1976	GBwinter	NMFS fall BTS	36.7	3.63		
1977	GBwinter	NMFS fall BTS	25	3.97		
1978	GBwinter	NMFS fall BTS	17.9	3.47		
1979	GBwinter	NMFS fall BTS	24.8	4.08		
1980	GBwinter	NMFS fall BTS	24.8	2.32		
1981	GBwinter	NMFS fall BTS	25.3	4.41		
1982	GBwinter	NMFS fall BTS	18.6	3.32		
1983	GBwinter	NMFS fall BTS	31.9	2.89		
1984	GBwinter	NMFS fall BTS	41.5	3.28		
1985	GBwinter	NMFS fall BTS	32.8	1.18		
1986	GBwinter	NMFS fall BTS	45	2		
1987	GBwinter	NMFS fall BTS	33.6	1.03		
1988	GBwinter	NMFS fall BTS	58.5	1.29		
1989	GBwinter	NMFS fall BTS	45.2	0.96		
1990	GBwinter	NMFS fall BTS	32.7	0.34		
1991	GBwinter	NMFS fall BTS	38.7	0.24		
1992	GBwinter	NMFS fall BTS	35.9	0.38		
1993	GBwinter	NMFS fall BTS	36.2	0.78		
1994	GBwinter	NMFS fall BTS	34.3	0.56		
1995	GBwinter	NMFS fall BTS	30.3	1.62		
1996	GBwinter	NMFS fall BTS	24.5	1.68		
1997	GBwinter	NMFS fall BTS	20.7	1.55		
1998	GBwinter	NMFS fall BTS	28.1	3.4		
1999	GBwinter	NMFS fall BTS	36.4	2.47		
2000	GBwinter	NMFS fall BTS	57.8	4.82		
2001	GBwinter	NMFS fall BTS	36.6	4.85		
2002	GBwinter	NMFS fall BTS	36.5	5.6		
2003	GBwinter	NMFS fall BTS	38.3	2.96		
2004	GBwinter	NMFS fall BTS	46.3	4.06		
2005	GBwinter	NMFS fall BTS	31.4	2.11		
2006	GBwinter	NMFS fall BTS	28.8	1.42		
2007	GBwinter	NMFS fall BTS	40.1	2		
2008	GBwinter	NMFS fall BTS	31	2.7		
2009	GBwinter	NMFS fall BTS	26.8	5.2		
2010	GBwinter	NMFS fall BTS	36.3	1.83		
2011	GBwinter	NMFS fall BTS	32.1	4.64		
2012	GBwinter	NMFS fall BTS	27.2	4.44		
2013	GBwinter	NMFS fall BTS	52	1.9		
2014	GBwinter	NMFS fall BTS	38.7	0.7		
1964	GBhaddock	NMFS fall BTS	193.2	96.6		
1965	GBhaddock	NMFS fall BTS	101.7	72.8		
1966	GBhaddock	NMFS fall BTS	34	30.4		
1967	GBhaddock	NMFS fall BTS	17	24.9		
1968	GBhaddock	NMFS fall BTS	7.5	16.8		
1969	GBhaddock	NMFS fall BTS	3	8.5		
1970	GBhaddock	NMFS fall BTS	7.6	13.2		
1971	GBhaddock	NMFS fall BTS	3.6	5.6		
1972	GBhaddock	NMFS fall BTS	10.8	8.5		
1973	GBhaddock	NMFS fall BTS	14.8	9.8		
1974	GBhaddock	NMFS fall BTS	3.8	4		
1975	GBhaddock	NMFS fall BTS	29.9	15.1		
1976	GBhaddock	NMFS fall BTS	70.8	35.8		
1977	GBhaddock	NMFS fall BTS	23.2	27.6		
1978	GBhaddock	NMFS fall BTS	25.1	18.1		
1979	GBhaddock	NMFS fall BTS	52.2	32.1		
1980	GBhaddock	NMFS fall BTS	30.4	22		
1981	GBhaddock	NMFS fall BTS	13.4	14.3		
1982	GBhaddock	NMFS fall BTS	5.4	7.3		
1983	GBhaddock	NMFS fall BTS	8	5.8		
1984	GBhaddock	NMFS fall BTS	5.4	4.5		
1985	GBhaddock	NMFS fall BTS	13.2	3.7		
1986	GBhaddock	NMFS fall BTS	6.8	5		
1987	GBhaddock	NMFS fall BTS	3.6	2.6		
1988	GBhaddock	NMFS fall BTS	5.3	5.3		
1989	GBhaddock	NMFS fall BTS	4.3	4.5		
1990	GBhaddock	NMFS fall BTS	2.9	2.6		
1991	GBhaddock	NMFS fall BTS	2.9	0.9		
1992	GBhaddock	NMFS fall BTS	5.9	3.2		
1993	GBhaddock	NMFS fall BTS	8	4.3		
1994	GBhaddock	NMFS fall BTS	3.5	2.9		
1995	GBhaddock	NMFS fall BTS	17.1	10.7		
1996	GBhaddock	NMFS fall BTS	4.4	4.1		
1997	GBhaddock	NMFS fall BTS	6.1	6.5		
1998	GBhaddock	NMFS fall BTS	10.8	5.8		
1999	GBhaddock	NMFS fall BTS	23.1	33.1		
2000	GBhaddock	NMFS fall BTS	18	15.4		
2001	GBhaddock	NMFS fall BTS	22.7	20		
2002	GBhaddock	NMFS fall BTS	42.1	36.3		
2003	GBhaddock	NMFS fall BTS	169.5	23		
2004	GBhaddock	NMFS fall BTS	187	55.8		
2005	GBhaddock	NMFS fall BTS	90.5	39.4		
2006	GBhaddock	NMFS fall BTS	57	37.4		
2007	GBhaddock	NMFS fall BTS	53.9	43.9		
2008	GBhaddock	NMFS fall BTS	16	18		
2009	GBhaddock	NMFS fall BTS	32.1	35.5		
2010	GBhaddock	NMFS fall BTS	75.5	18.3		
2011	GBhaddock	NMFS fall BTS	115.5	36.4		
2012	GBhaddock	NMFS fall BTS	70.6	35		
2013	GBhaddock	NMFS fall BTS	790.9	95.1		
2014	GBhaddock	NMFS fall BTS	409.5	98		
1968	GByt	NMFS fall BTS	31.254	10.536		
1969	GByt	NMFS fall BTS	28.698	9.807		
1970	GByt	NMFS fall BTS	15.37	4.979		
1971	GByt	NMFS fall BTS	18.563	6.365		
1972	GByt	NMFS fall BTS	16.857	6.328		
1973	GByt	NMFS fall BTS	17.875	6.49		
1974	GByt	NMFS fall BTS	10.9	3.669		
1975	GByt	NMFS fall BTS	8.982	2.326		
1976	GByt	NMFS fall BTS	3.077	1.508		
1977	GByt	NMFS fall BTS	5.615	2.781		
1978	GByt	NMFS fall BTS	7.404	2.343		
1979	GByt	NMFS fall BTS	4.021	1.494		
1980	GByt	NMFS fall BTS	13.136	6.607		
1981	GByt	NMFS fall BTS	6.306	2.576		
1982	GByt	NMFS fall BTS	6.711	2.27		
1983	GByt	NMFS fall BTS	4.899	2.131		
1984	GByt	NMFS fall BTS	1.748	0.593		
1985	GByt	NMFS fall BTS	2.196	0.709		
1986	GByt	NMFS fall BTS	1.813	0.82		
1987	GByt	NMFS fall BTS	1.031	0.509		
1988	GByt	NMFS fall BTS	0.366	0.171		
1989	GByt	NMFS fall BTS	3.149	0.977		
1990	GByt	NMFS fall BTS	2.137	0.725		
1991	GByt	NMFS fall BTS	3.173	0.73		
1992	GByt	NMFS fall BTS	1.592	0.576		
1993	GByt	NMFS fall BTS	2.122	0.546		
1994	GByt	NMFS fall BTS	3.432	0.897		
1995	GByt	NMFS fall BTS	1.075	0.354		
1996	GByt	NMFS fall BTS	2.892	1.303		
1997	GByt	NMFS fall BTS	8.611	3.781		
1998	GByt	NMFS fall BTS	12.481	4.347		
1999	GByt	NMFS fall BTS	20.371	7.973		
2000	GByt	NMFS fall BTS	11.336	5.838		
2001	GByt	NMFS fall BTS	24.245	11.553		
2002	GByt	NMFS fall BTS	10.897	3.754		
2003	GByt	NMFS fall BTS	9.773	4.038		
2004	GByt	NMFS fall BTS	14.601	5.117		
2005	GByt	NMFS fall BTS	6.97	2.463		
2006	GByt	NMFS fall BTS	17.577	4.521		
2007	GByt	NMFS fall BTS	22.846	8.151		
2008	GByt	NMFS fall BTS	18.258	7.109		
2009	GByt	NMFS fall BTS	19.975	6.744		
2010	GByt	NMFS fall BTS	8.522	2.247		
2011	GByt	NMFS fall BTS	8.26	2.452		
2012	GByt	NMFS fall BTS	7.369	2.52		
2013	GByt	NMFS fall BTS	2.997	0.875		
2014	GByt	NMFS fall BTS	3.34	1.024		
2015	GByt	NMFS fall BTS	1.406	0.469		
2016	GByt	NMFS fall BTS	1.477	0.439		
1963	GOMcod	NMFS fall BTS	5.914	17.95		
1964	GOMcod	NMFS fall BTS	4.015	22.799		
1965	GOMcod	NMFS fall BTS	4.5	12.089		
1966	GOMcod	NMFS fall BTS	3.72	12.838		
1967	GOMcod	NMFS fall BTS	2.602	9.313		
1968	GOMcod	NMFS fall BTS	4.374	19.437		
1969	GOMcod	NMFS fall BTS	2.758	15.154		
1970	GOMcod	NMFS fall BTS	4.905	16.442		
1971	GOMcod	NMFS fall BTS	4.361	16.529		
1972	GOMcod	NMFS fall BTS	9.301	12.988		
1973	GOMcod	NMFS fall BTS	4.452	8.764		
1974	GOMcod	NMFS fall BTS	4.328	8.959		
1975	GOMcod	NMFS fall BTS	6.143	8.619		
1976	GOMcod	NMFS fall BTS	2.148	6.74		
1977	GOMcod	NMFS fall BTS	3.073	10.199		
1978	GOMcod	NMFS fall BTS	5.773	12.899		
1979	GOMcod	NMFS fall BTS	3.142	13.927		
1980	GOMcod	NMFS fall BTS	7.035	14.202		
1981	GOMcod	NMFS fall BTS	2.349	7.533		
1982	GOMcod	NMFS fall BTS	7.769	15.919		
1983	GOMcod	NMFS fall BTS	2.786	8.416		
1984	GOMcod	NMFS fall BTS	2.449	8.735		
1985	GOMcod	NMFS fall BTS	2.821	8.264		
1986	GOMcod	NMFS fall BTS	1.95	4.715		
1987	GOMcod	NMFS fall BTS	2.996	3.394		
1988	GOMcod	NMFS fall BTS	5.903	6.616		
1989	GOMcod	NMFS fall BTS	4.553	4.535		
1990	GOMcod	NMFS fall BTS	2.986	4.912		
1991	GOMcod	NMFS fall BTS	1.252	2.782		
1992	GOMcod	NMFS fall BTS	1.434	2.448		
1993	GOMcod	NMFS fall BTS	1.232	1.003		
1994	GOMcod	NMFS fall BTS	2.13	2.737		
1995	GOMcod	NMFS fall BTS	2.008	3.665		
1996	GOMcod	NMFS fall BTS	1.327	2.352		
1997	GOMcod	NMFS fall BTS	0.872	1.872		
1998	GOMcod	NMFS fall BTS	0.843	1.501		
1999	GOMcod	NMFS fall BTS	1.807	3.505		
2000	GOMcod	NMFS fall BTS	2.604	4.652		
2001	GOMcod	NMFS fall BTS	1.98	7.324		
2002	GOMcod	NMFS fall BTS	5.328	24.659		
2003	GOMcod	NMFS fall BTS	2.529	5.988		
2004	GOMcod	NMFS fall BTS	3.533	4.906		
2005	GOMcod	NMFS fall BTS	1.338	2.897		
2006	GOMcod	NMFS fall BTS	3.594	4.229		
2007	GOMcod	NMFS fall BTS	1.992	2.714		
2008	GOMcod	NMFS fall BTS	3.46	5.307		
2009	GOMcod	NMFS fall BTS	3.447	5.845		
2010	GOMcod	NMFS fall BTS	0.948	2.572		
2011	GOMcod	NMFS fall BTS	0.99	2.647		
2012	GOMcod	NMFS fall BTS	0.452	1.024		
2013	GOMcod	NMFS fall BTS	0.587	1.068		
2014	GOMcod	NMFS fall BTS	1.269	2.662		
1968	witch	NMFS fall BTS	4.82	3.52		
1969	witch	NMFS fall BTS	5.81	4.21		
1970	witch	NMFS fall BTS	4.89	3.68		
1971	witch	NMFS fall BTS	4.32	2.96		
1972	witch	NMFS fall BTS	3.24	2.42		
1973	witch	NMFS fall BTS	3.18	2.05		
1974	witch	NMFS fall BTS	2.38	1.58		
1975	witch	NMFS fall BTS	1.66	1.03		
1976	witch	NMFS fall BTS	1.34	0.94		
1977	witch	NMFS fall BTS	5.05	3.38		
1978	witch	NMFS fall BTS	4.04	2.94		
1979	witch	NMFS fall BTS	1.94	1.62		
1980	witch	NMFS fall BTS	2.62	2.04		
1981	witch	NMFS fall BTS	3.66	2.19		
1982	witch	NMFS fall BTS	0.99	0.83		
1983	witch	NMFS fall BTS	4.72	2.12		
1984	witch	NMFS fall BTS	4.37	2.33		
1985	witch	NMFS fall BTS	2.76	1.59		
1986	witch	NMFS fall BTS	1.59	1.09		
1987	witch	NMFS fall BTS	0.48	0.37		
1988	witch	NMFS fall BTS	1.38	0.57		
1989	witch	NMFS fall BTS	0.89	0.38		
1990	witch	NMFS fall BTS	2	0.4		
1991	witch	NMFS fall BTS	2.08	0.54		
1992	witch	NMFS fall BTS	0.94	0.24		
1993	witch	NMFS fall BTS	5.15	0.54		
1994	witch	NMFS fall BTS	2.21	0.42		
1995	witch	NMFS fall BTS	4.74	0.62		
1996	witch	NMFS fall BTS	5.38	1.02		
1997	witch	NMFS fall BTS	5.1	0.77		
1998	witch	NMFS fall BTS	3.7	0.47		
1999	witch	NMFS fall BTS	5.91	0.88		
2000	witch	NMFS fall BTS	6.63	1.11		
2001	witch	NMFS fall BTS	7.94	1.71		
2002	witch	NMFS fall BTS	4.31	1.06		
2003	witch	NMFS fall BTS	2.66	0.79		
2004	witch	NMFS fall BTS	3.82	1.03		
2005	witch	NMFS fall BTS	1.93	0.38		
2006	witch	NMFS fall BTS	2.03	0.46		
2007	witch	NMFS fall BTS	2.74	0.57		
2008	witch	NMFS fall BTS	2.78	0.64		
2009	witch	NMFS fall BTS	2.08	0.45		
2010	witch	NMFS fall BTS	1.99	0.36		
1968	SNEMAyt	NMFS fall BTS	76	16.7		
1969	SNEMAyt	NMFS fall BTS	72.5	17.8		
1970	SNEMAyt	NMFS fall BTS	79.3	20.8		
1971	SNEMAyt	NMFS fall BTS	59.2	11.5		
1972	SNEMAyt	NMFS fall BTS	150.5	40.4		
1973	SNEMAyt	NMFS fall BTS	15.1	4		
1974	SNEMAyt	NMFS fall BTS	6.3	2		
1975	SNEMAyt	NMFS fall BTS	2.9	0.7		
1976	SNEMAyt	NMFS fall BTS	8.7	2.5		
1977	SNEMAyt	NMFS fall BTS	4.6	1.2		
1978	SNEMAyt	NMFS fall BTS	7.8	2.2		
1979	SNEMAyt	NMFS fall BTS	6.9	2		
1980	SNEMAyt	NMFS fall BTS	5.3	1.5		
1981	SNEMAyt	NMFS fall BTS	21.4	4.4		
1982	SNEMAyt	NMFS fall BTS	30.5	7.3		
1983	SNEMAyt	NMFS fall BTS	23.6	5.7		
1984	SNEMAyt	NMFS fall BTS	5.6	1.3		
1985	SNEMAyt	NMFS fall BTS	1.2	0.3		
1986	SNEMAyt	NMFS fall BTS	2.7	0.7		
1987	SNEMAyt	NMFS fall BTS	2	0.4		
1988	SNEMAyt	NMFS fall BTS	5	0.5		
1989	SNEMAyt	NMFS fall BTS	10.3	2		
1990	SNEMAyt	NMFS fall BTS	4.8	1.1		
1991	SNEMAyt	NMFS fall BTS	2.3	0.6		
1992	SNEMAyt	NMFS fall BTS	0.5	0.1		
1993	SNEMAyt	NMFS fall BTS	0.5	0.1		
1994	SNEMAyt	NMFS fall BTS	1.5	0.3		
1995	SNEMAyt	NMFS fall BTS	1.2	0.3		
1996	SNEMAyt	NMFS fall BTS	0.9	0.2		
1997	SNEMAyt	NMFS fall BTS	3.1	0.9		
1998	SNEMAyt	NMFS fall BTS	2.7	0.7		
1999	SNEMAyt	NMFS fall BTS	2	0.5		
2000	SNEMAyt	NMFS fall BTS	2.2	0.7		
2001	SNEMAyt	NMFS fall BTS	1.2	0.4		
2002	SNEMAyt	NMFS fall BTS	3	1.1		
2003	SNEMAyt	NMFS fall BTS	2.3	0.4		
2004	SNEMAyt	NMFS fall BTS	0.3	0.1		
2005	SNEMAyt	NMFS fall BTS	2.6	0.5		
2006	SNEMAyt	NMFS fall BTS	3.5	0.7		
2007	SNEMAyt	NMFS fall BTS	1.7	0.5		
2008	SNEMAyt	NMFS fall BTS	3.3	0.9		
2009	SNEMAyt	NMFS fall BTS	1.7	0.4		
2010	SNEMAyt	NMFS fall BTS	12.3	3.7		
2011	SNEMAyt	NMFS fall BTS	1.7	0.6		
1981	SNEMAwinter	NMFS fall BTS	18137	10471.958		
1982	SNEMAwinter	NMFS fall BTS	19706	9725.177		
1983	SNEMAwinter	NMFS fall BTS	8839	3840.501		
1984	SNEMAwinter	NMFS fall BTS	17879	8349.644		
1985	SNEMAwinter	NMFS fall BTS	4899	2121.289		
1986	SNEMAwinter	NMFS fall BTS	4523	2145.987		
1987	SNEMAwinter	NMFS fall BTS	2847	1148.846		
1988	SNEMAwinter	NMFS fall BTS	2434	1035.095		
1989	SNEMAwinter	NMFS fall BTS	2090	1050.157		
1990	SNEMAwinter	NMFS fall BTS	2875	1211.501		
1991	SNEMAwinter	NMFS fall BTS	4041	1931.799		
1992	SNEMAwinter	NMFS fall BTS	3830	1966.193		
1993	SNEMAwinter	NMFS fall BTS	5917	3035.931		
1994	SNEMAwinter	NMFS fall BTS	2354	1176.134		
1995	SNEMAwinter	NMFS fall BTS	8489	4528.558		
1996	SNEMAwinter	NMFS fall BTS	3800	1982.724		
1997	SNEMAwinter	NMFS fall BTS	6219	3564.347		
1998	SNEMAwinter	NMFS fall BTS	16268	8152.625		
1999	SNEMAwinter	NMFS fall BTS	13002	6085.72		
2000	SNEMAwinter	NMFS fall BTS	7372	4441.669		
2001	SNEMAwinter	NMFS fall BTS	11633	6914.039		
2002	SNEMAwinter	NMFS fall BTS	6037	3480.158		
2003	SNEMAwinter	NMFS fall BTS	18571	11929.504		
2004	SNEMAwinter	NMFS fall BTS	6287	3832.858		
2005	SNEMAwinter	NMFS fall BTS	6794	3243.868		
2006	SNEMAwinter	NMFS fall BTS	7803	4328.744		
2007	SNEMAwinter	NMFS fall BTS	5818	3212.396		
2008	SNEMAwinter	NMFS fall BTS	7384	3810.183		
2009	SNEMAwinter	NMFS fall BTS	5915	3569.171		
2010	SNEMAwinter	NMFS fall BTS	3577	1865.077		
2011	SNEMAwinter	NMFS fall BTS	5319	2946.843		
2012	SNEMAwinter	NMFS fall BTS	2721	1825.423		
2013	SNEMAwinter	NMFS fall BTS	10889	6774.59		
2014	SNEMAwinter	NMFS fall BTS	1271	908.698		
1968	plaice	NMFS fall BTS	8.6	2.9		
1969	plaice	NMFS fall BTS	7.5	2.2		
1970	plaice	NMFS fall BTS	6.5	2		
1971	plaice	NMFS fall BTS	7.5	2		
1972	plaice	NMFS fall BTS	7.4	1.6		
1973	plaice	NMFS fall BTS	6.2	1.9		
1974	plaice	NMFS fall BTS	6.9	1.4		
1975	plaice	NMFS fall BTS	8.1	2.4		
1976	plaice	NMFS fall BTS	10	3		
1977	plaice	NMFS fall BTS	11.8	3.5		
1978	plaice	NMFS fall BTS	15.1	4.7		
1979	plaice	NMFS fall BTS	10	4		
1980	plaice	NMFS fall BTS	14.2	5.1		
1981	plaice	NMFS fall BTS	13	5.6		
1982	plaice	NMFS fall BTS	5.9	2.5		
1983	plaice	NMFS fall BTS	9.3	3.4		
1984	plaice	NMFS fall BTS	7.1	2		
1985	plaice	NMFS fall BTS	6.9	2		
1986	plaice	NMFS fall BTS	5.6	1.6		
1987	plaice	NMFS fall BTS	4.4	1.1		
1988	plaice	NMFS fall BTS	9.7	1.5		
1989	plaice	NMFS fall BTS	9.2	1.2		
1990	plaice	NMFS fall BTS	15.5	2.9		
1991	plaice	NMFS fall BTS	7.7	1.6		
1992	plaice	NMFS fall BTS	6.3	1.8		
1993	plaice	NMFS fall BTS	11.9	2.4		
1994	plaice	NMFS fall BTS	18.1	2.7		
1995	plaice	NMFS fall BTS	11.8	2.6		
1996	plaice	NMFS fall BTS	7.6	2.2		
1997	plaice	NMFS fall BTS	6.3	1.9		
1998	plaice	NMFS fall BTS	9.3	2.2		
1999	plaice	NMFS fall BTS	11	2.6		
2000	plaice	NMFS fall BTS	12.2	2.8		
2001	plaice	NMFS fall BTS	10.4	2.6		
2002	plaice	NMFS fall BTS	9.7	2.2		
2003	plaice	NMFS fall BTS	9.3	2.3		
2004	plaice	NMFS fall BTS	5.4	1		
2005	plaice	NMFS fall BTS	5.8	1		
2006	plaice	NMFS fall BTS	12.5	1.7		
2007	plaice	NMFS fall BTS	11	1.4		
2008	plaice	NMFS fall BTS	14.4	2.1		
2009	plaice	NMFS fall BTS	8	1.4		
2010	plaice	NMFS fall BTS	7.2	1.5		
2011	plaice	NMFS fall BTS	10.7	2.3		
2012	plaice	NMFS fall BTS	5.7	1.5		
2013	plaice	NMFS fall BTS	6	1.6		
2014	plaice	NMFS fall BTS	12.3	2.1		
1985	CCGOMyt	NMFS fall BTS	2356.00	491.36		
1986	CCGOMyt	NMFS fall BTS	1490.00	334.31		
1987	CCGOMyt	NMFS fall BTS	754.00	182.01		
1988	CCGOMyt	NMFS fall BTS	2488.00	467.20		
1989	CCGOMyt	NMFS fall BTS	2240.00	665.46		
1990	CCGOMyt	NMFS fall BTS	3208.00	748.63		
1991	CCGOMyt	NMFS fall BTS	1459.00	360.76		
1992	CCGOMyt	NMFS fall BTS	2696.00	533.81		
1993	CCGOMyt	NMFS fall BTS	2476.00	354.52		
1994	CCGOMyt	NMFS fall BTS	4296.00	965.75		
1995	CCGOMyt	NMFS fall BTS	785.00	239.63		
1996	CCGOMyt	NMFS fall BTS	3283.00	1094.11		
1997	CCGOMyt	NMFS fall BTS	2589.00	886.48		
1998	CCGOMyt	NMFS fall BTS	2052.00	630.08		
1999	CCGOMyt	NMFS fall BTS	6480.00	2277.72		
2000	CCGOMyt	NMFS fall BTS	3839.00	1401.81		
2001	CCGOMyt	NMFS fall BTS	1956.00	722.35		
2002	CCGOMyt	NMFS fall BTS	787.00	291.55		
2003	CCGOMyt	NMFS fall BTS	3414.00	1159.70		
2004	CCGOMyt	NMFS fall BTS	613.00	165.47		
2005	CCGOMyt	NMFS fall BTS	1100.00	214.04		
2006	CCGOMyt	NMFS fall BTS	1514.00	340.35		
2007	CCGOMyt	NMFS fall BTS	4216.00	1466.12		
2008	CCGOMyt	NMFS fall BTS	5837.00	2068.47		
2009	CCGOMyt	NMFS fall BTS	7059.00	2261.12		
2010	CCGOMyt	NMFS fall BTS	8403.00	2788.10		
2011	CCGOMyt	NMFS fall BTS	3851.00	1455.82		
2012	CCGOMyt	NMFS fall BTS	4843.00	1601.93		
2013	CCGOMyt	NMFS fall BTS	6616.00	2158.74		
2014	CCGOMyt	NMFS fall BTS	4496.00	1198.32		
1970	pollock	NMFS fall BTS	0.551	2.57768		
1971	pollock	NMFS fall BTS	0.949	3.14158		
1972	pollock	NMFS fall BTS	1.483	3.17025		
1973	pollock	NMFS fall BTS	0.969	3.70814		
1974	pollock	NMFS fall BTS	1.007	2.75256		
1975	pollock	NMFS fall BTS	0.704	2.46872		
1976	pollock	NMFS fall BTS	4.296	3.35006		
1977	pollock	NMFS fall BTS	2.342	3.2936		
1978	pollock	NMFS fall BTS	1.062	3.89401		
1979	pollock	NMFS fall BTS	0.873	3.83218		
1980	pollock	NMFS fall BTS	0.494	4.15925		
1981	pollock	NMFS fall BTS	1.1	1.90868		
1982	pollock	NMFS fall BTS	0.793	2.08697		
1983	pollock	NMFS fall BTS	1.001	2.44491		
1984	pollock	NMFS fall BTS	0.28	0.87329		
1985	pollock	NMFS fall BTS	1.107	1.18029		
1986	pollock	NMFS fall BTS	0.424	1.69481		
1987	pollock	NMFS fall BTS	0.541	2.72858		
1988	pollock	NMFS fall BTS	3.963	2.17773		
1989	pollock	NMFS fall BTS	1.642	0.68149		
1990	pollock	NMFS fall BTS	0.699	2.28549		
1991	pollock	NMFS fall BTS	0.696	1.32456		
1992	pollock	NMFS fall BTS	0.907	0.97115		
1993	pollock	NMFS fall BTS	1.096	0.59674		
1994	pollock	NMFS fall BTS	0.374	1.00513		
1995	pollock	NMFS fall BTS	0.856	1.02412		
1996	pollock	NMFS fall BTS	1.011	1.03323		
1997	pollock	NMFS fall BTS	1.704	0.74406		
1998	pollock	NMFS fall BTS	2.058	0.47914		
1999	pollock	NMFS fall BTS	2.282	1.28557		
2000	pollock	NMFS fall BTS	2.449	0.28633		
2001	pollock	NMFS fall BTS	2.113	1.22359		
2002	pollock	NMFS fall BTS	3.179	1.76992		
2003	pollock	NMFS fall BTS	7.742	0.99931		
2004	pollock	NMFS fall BTS	3.106	1.20484		
2005	pollock	NMFS fall BTS	5.064	1.29159		
2006	pollock	NMFS fall BTS	1.672	1.09647		
2007	pollock	NMFS fall BTS	0.332	2.16072		
2008	pollock	NMFS fall BTS	1.01	1.75891		
2009	pollock	NMFS fall BTS	0.25	0.62428		
2010	pollock	NMFS fall BTS	1.134	2.81048		
2011	pollock	NMFS fall BTS	4.391	0.6699		
2012	pollock	NMFS fall BTS	1.577	0.93857		
2013	pollock	NMFS fall BTS	1.322	0.43086		
2014	pollock	NMFS fall BTS	11.335	0.59222		
1982	fluke	NMFS spring BTS	2.27	1.11		
1983	fluke	NMFS spring BTS	0.95	0.53		
1984	fluke	NMFS spring BTS	0.66	0.38		
1985	fluke	NMFS spring BTS	2.38	1.2		
1986	fluke	NMFS spring BTS	2.14	0.82		
1987	fluke	NMFS spring BTS	0.93	0.38		
1988	fluke	NMFS spring BTS	1.5	0.68		
1989	fluke	NMFS spring BTS	0.32	0.24		
1990	fluke	NMFS spring BTS	0.72	0.27		
1991	fluke	NMFS spring BTS	1.08	0.35		
1992	fluke	NMFS spring BTS	1.2	0.46		
1993	fluke	NMFS spring BTS	1.27	0.48		
1994	fluke	NMFS spring BTS	0.93	0.46		
1995	fluke	NMFS spring BTS	1.09	0.46		
1996	fluke	NMFS spring BTS	1.76	0.67		
1997	fluke	NMFS spring BTS	1.06	0.61		
1998	fluke	NMFS spring BTS	1.19	0.76		
1999	fluke	NMFS spring BTS	1.6	1.01		
2000	fluke	NMFS spring BTS	2.14	1.7		
2001	fluke	NMFS spring BTS	2.69	2.16		
2002	fluke	NMFS spring BTS	2.47	2.29		
2003	fluke	NMFS spring BTS	2.91	2.42		
2004	fluke	NMFS spring BTS	3.03	2.43		
2005	fluke	NMFS spring BTS	1.81	1.59		
2006	fluke	NMFS spring BTS	1.77	1.34		
2007	fluke	NMFS spring BTS	3.25	3.17		
2008	fluke	NMFS spring BTS	1.4	1.38		
2009	fluke	NMFS spring BTS	1.758	1.174		
2010	fluke	NMFS spring BTS	2.211	1.568		
2011	fluke	NMFS spring BTS	2.534	1.608		
2012	fluke	NMFS spring BTS	2.05	1.633		
